id,lat,long,fecha
12,-3524088.4245595946,735286.6754710863,10_2017
33,-3524150.0769199827,735120.4513067891,10_2017
64,-3524077.97530978,735169.4612787932,10_2017
66,-3524053.3937491737,735064.8839239381,10_2017
65,-3523932.874505087,735082.796226834,10_2017
67,-3523984.419400653,735153.6052599191,10_2017
59,-3523888.096319442,735210.7482853285,10_2017
63,-3523775.0358961206,735215.2304193011,10_2017
58,-3523728.0447983206,735294.9266368765,10_2017
61,-3523924.0096860854,735277.178888299,10_2017
52,-3523776.3693633894,735128.0545216311,10_2017
54,-3523670.7202875833,735165.519569239,10_2017
60,-3523801.7380028553,734820.2312002642,01_2017
Vivero,-3523429.411855401,735383.3988669452,01_2017
50,-3523784.2083972837,735208.8161150664,01_2017
68,-3524006.676882166,735176.4825831838,01_2017
69,-3523514.53167507,735228.4768758268,01_2017
? (Patio Fer),-3523351.7357336357,734870.5822302339,01_2017
44,-3523357.846278359,734886.9819003599,01_2017
26,-3523525.6072706925,734825.9340904189,01_2017
27,-3523833.325329674,734550.1857034164,01_2017
56,-3524044.8098479155,734913.1673914964,01_2017
33,-3524056.5346144666,735035.1531796295,01_2017
1-Casa Alberdi,-3525615.130309927,735011.7925538216,01_2017
47,-3525696.7797384835,734863.1924517561,01_2017
32,-3525666.9655688074,734713.1315212914,01_2017
35,-3523494.400616192,735357.2798934777,01_2017
45,-3523353.144116439,735248.2797079162,01_2017
34A-1,-3524097.821781551,734624.5554775329,01_2017
31,-3524237.131495878,734688.3415614193,01_2017
33-1,-3524002.4624674497,734446.3535681396,01_2017
25-2,-3523645.1922481204,734551.1801589555,01_2017
26A-1,-3523666.6993389097,734674.8001127068,01_2017
26B-1,-3523874.5519569363,734670.5606575254,01_2017
35-1,-3524017.3087682426,734808.204248,01_2017
28-1,-3523930.454576284,734909.7761828334,01_2017
FI-1,-3524535.0199683807,734492.7691955911,01_2017
FI-2,-3524517.343635412,734432.8386968019,01_2017
FCA-1,-3524412.4430197137,734590.6623996623,01_2017
FCA-2,-3524429.562112698,734679.5894033465,01_2017
FCYT-1,-3524702.361389194,734523.6152053829,01_2017
FCYT-2,-3524730.3458369034,734539.361883773,01_2017
1,-3523656.4356100094,735234.52632786,01_2017
39,-3523824.7642038134,735213.4292038106,01_2017
casa turco,-3523835.308805607,735101.304273317,01_2017
28-2,-3523709.541835274,735032.4868537405,01_2017
12,-3523217.4905265183,734650.8694378604,01_2017
13A,-3523348.173058377,734756.5907564486,01_2017
16-1,-3523632.5303385598,734952.4355114084,01_2017
16-2,-3523351.4808253283,735030.6642449833,01_2017
16-3,-3523474.862086142,735101.0765082615,01_2017
55,-3523822.646771871,734423.51121476,01_2017
78-1,-3523283.1234245193,734995.125326543,01_2017
27A-2,-3523669.5476755938,734902.2418620832,01_2017
25-3,-3523818.0211922466,734609.262805478,01_2017
24,-3524168.07384858,734612.3248970835,08_2016
47,-3523914.1031437055,734692.0723892403,08_2016
55,-3523605.759790566,734737.35415919,08_2016
60,-3523801.7380028553,734820.2312002642,08_2016
45,-3523429.3078766237,735377.4050526038,08_2016
50,-3523784.2083972837,735208.8161150664,08_2016
68,-3524006.676882166,735176.4825831838,08_2016
69,-3523514.53167507,735228.4768758268,08_2016
57,-3523482.441187599,735073.5482125381,08_2016
? (Patio Fer),-3523351.7357336357,734870.5822302339,08_2016
? (Vereda Fer),-3523357.846278359,734886.9819003599,08_2016
29,-3523882.865460879,734734.5107391882,08_2016
26,-3523525.6072706925,734825.9340904189,08_2016
25,-3523983.027709036,735155.8156964385,08_2016
22,-3523907.656087467,734807.609504358,08_2016
58,-3523915.495984107,734994.3068069263,08_2016
27,-3523833.325329674,734550.1857034164,08_2016
62,-3524146.982970606,734490.306058259,08_2016
56,-3524044.8098479155,734913.1673914964,08_2016
31,-3523983.9886585767,735183.2628918556,08_2016
33,-3524009.064264256,735154.2726831739,08_2016
6,-3523939.28011938,735154.2592904458,08_2016
38,-3523969.9416808207,735122.1101541349,08_2016
1,-3523942.4275501072,734566.483546043,02_2016
2,-3524168.0737621207,734612.3211102943,02_2016
3,-3524044.811979068,734913.1635539568,02_2016
4,-3524200.0806831485,734678.1871414635,02_2016
5,-3524200.202713686,734546.8453702031,02_2016
6,-3524183.2053985302,734412.770496143,02_2016
7,-3524055.3065983416,734617.4891961466,02_2016
8,-3524002.9082971597,734480.238169583,02_2016
9,-3523914.098794754,734692.0762774205,02_2016
10,-3523931.331258192,734907.8446618067,02_2016
11,-3523801.740242205,734820.2320963244,02_2016
12,-3523357.850735429,734886.9827457753,02_2016
13,-3523611.0940034054,734578.1211518825,02_2016
14,-3523963.683942267,734863.7379463513,02_2016
15,-3523907.6604580083,734807.6065628466,02_2016
16,-3523351.734646412,734870.5832023465,02_2016
17,-3524081.6440368393,734806.8961652267,02_2016
18,-3523401.659019769,734772.8641621466,02_2016
19,-3524007.875581854,734951.3620466253,02_2016
20,-3523468.2681555646,734635.8415063261,02_2016
21,-3523599.5984223173,735306.7657963787,02_2016
22,-3523784.2029613196,735208.8209756368,02_2016
25,-3523755.608760104,735142.2293438392,02_2016
26,-3523832.3538820166,735221.2813544859,02_2016
27,-3523514.527261298,735228.4779240993,02_2016
29,-3523375.662527011,735319.7720206974,02_2016
31,-3524006.676882166,735176.4825831838,02_2016
32,-3523605.6608129,735040.9864324718,02_2016
33,-3523844.0968225324,735283.7313140838,02_2016
34,-3523605.758638462,734737.3522910157,02_2016
35,-3523635.819686727,734948.0617254123,02_2016
36,-3523353.4963094355,735037.3437750738,02_2016
37,-3523482.445536422,735073.5443240425,02_2016
38,-3523821.2923984854,734603.4081745283,02_2016
39,-3523695.922872551,734698.2607934403,02_2016
40,-3523599.3328563888,734870.4145861899,02_2016
41,-3523429.305658902,735377.4051033903,02_2016
42,-3523543.793776606,734973.5796033691,02_2016
43,-3523462.9858874204,734949.9087997407,02_2016
44,-3523759.170173813,735018.0688521949,02_2016
47,-3524003.8667014735,735049.825231697,02_2016
51,-3523839.6016723025,735114.8536978685,02_2016
58,-3524056.810189523,735054.6223664265,02_2016
62,-3523658.8479178394,735229.2110697633,02_2016
