id,lat,long,fecha
12,-31.82822,-60.51399,10_2017
33,-31.82881,-60.51573,10_2017
64,-31.82815,-60.51523,10_2017
66,-31.82795,-60.51634,10_2017
65,-31.82686,-60.51618,10_2017
67,-31.82731,-60.51542,10_2017
59,-31.82643,-60.51484,10_2017
63,-31.82541,-60.51482,10_2017
58,-31.82497,-60.51399,10_2017
61,-31.82674,-60.51413,10_2017
52,-31.82544,-60.51574,10_2017
54,-31.82448,-60.51537,10_2017
60,-31.8257321,-60.5189836,01_2017
Vivero,-31.82226,-60.5131282,01_2017
50,-31.825494,-60.5148855,01_2017
68,-31.8275059,-60.5151731,01_2017
69,-31.8230592,-60.5147431,01_2017
? (Patio Fer),-31.8216656,-60.5185606,01_2017
44,-31.8217173,-60.518386,01_2017
26,-31.823242,-60.51899,01_2017
27,-31.8260724,-60.5218269,01_2017
56,-31.8279039,-60.5179438,01_2017
33,-31.82798444,-60.51665312,01_2017
1-Casa Alberdi,-31.84203773,-60.5165233,01_2017
47,-31.84280432,-60.51807265,01_2017
32,-31.84256651,-60.51966435,01_2017
35,-31.82285117,-60.51338822,01_2017
45,-31.82160044,-60.51457304,01_2017
34A-1,-31.82844116,-60.52097801,01_2017
31,-31.82968371,-60.520271,01_2017
33-1,-31.82761829,-60.52288234,01_2017
25-2,-31.82437644,-60.52186173,01_2017
26A-1,-31.82454486,-60.52055149,01_2017
26B-1,-31.82641923,-60.52054614,01_2017
35-1,-31.82767764,-60.51905857,01_2017
28-1,-31.82687385,-60.5180072,01_2017
FI-1,-31.832409,-60.522264,01_2017
FI-2,-31.832262,-60.522901,01_2017
FCA-1,-31.831284,-60.52126,01_2017
FCA-2,-31.83142,-60.520317,01_2017
FCYT-1,-31.833911,-60.521898,01_2017
FCYT-2,-31.83416,-60.521725,01_2017
1,-31.82433701,-60.51464495,01_2017
39,-31.8258586,-60.514827,01_2017
casa turco,-31.82597677,-60.51600817,01_2017
28-2,-31.82485735,-60.51676505,01_2017
12,-31.8205008,-60.52091239,01_2017
13A,-31.82165696,-60.51976483,01_2017
16-1,-31.8241797,-60.51762874,01_2017
16-2,-31.82163032,-60.51687073,01_2017
16-3,-31.82272791,-60.51609762,01_2017
55,-31.8260022,-60.5231668,01_2017
78-1,-31.8210215,-60.5172624,01_2017
27A-2,-31.8245237,-60.5181497,01_2017
25-3,-31.8259223,-60.5212069,01_2017
24,-31.8290769,-60.5210902,08_2016
47,-31.8267713,-60.5203095,08_2016
55,-31.8239827,-60.5199058,08_2016
60,-31.8257321,-60.5189836,08_2016
45,-31.8222603,-60.5131915,08_2016
50,-31.825494,-60.5148855,08_2016
68,-31.8275059,-60.5151731,08_2016
69,-31.8230592,-60.5147431,08_2016
57,-31.8228019,-60.5163864,08_2016
? (Patio Fer),-31.8216656,-60.5185606,08_2016
? (Vereda Fer),-31.8217173,-60.518386,08_2016
29,-31.826481,-60.519869,08_2016
26,-31.823242,-60.51899,08_2016
25,-31.827297,-60.515397,08_2016
22,-31.8266894,-60.5190913,08_2016
58,-31.8267216,-60.5171184,08_2016
27,-31.8260724,-60.5218269,08_2016
62,-31.8289119,-60.5223835,08_2016
56,-31.8279039,-60.5179438,08_2016
31,-31.8273,-60.515107,08_2016
33,-31.827532,-60.515407,08_2016
6,-31.826903,-60.515424,08_2016
38,-31.827186,-60.515756,08_2016
1,-31.82705245,-60.52162855,02_2016
2,-31.8290769,-60.52109024,02_2016
3,-31.82790392,-60.51794384,02_2016
4,-31.82935184,-60.52038714,02_2016
5,-31.82937997,-60.52177376,02_2016
6,-31.82925434,-60.52319336,02_2016
7,-31.8280594,-60.52106286,02_2016
8,-31.82761534,-60.5225245,02_2016
9,-31.82677126,-60.52030946,02_2016
10,-31.82688215,-60.51802738,02_2016
11,-31.82573212,-60.51898359,02_2016
12,-31.82171734,-60.51838599,02_2016
13,-31.82406355,-60.52158553,02_2016
14,-31.82718285,-60.51848522,02_2016
15,-31.82668944,-60.51909133,02_2016
16,-31.82166559,-60.51856059,02_2016
17,-31.8282578,-60.51905686,02_2016
18,-31.82213571,-60.51958014,02_2016
19,-31.82756312,-60.51754948,02_2016
20,-31.8227643,-60.5210106,02_2016
21,-31.8238098,-60.51389606,02_2016
22,-31.82549395,-60.51488545,02_2016
25,-31.82524995,-60.51559537,02_2016
26,-31.82592539,-60.51474227,02_2016
27,-31.82305916,-60.51474309,02_2016
29,-31.82178866,-60.51381288,02_2016
31,-31.8275059,-60.5151731,02_2016
32,-31.82391926,-60.5167004,02_2016
33,-31.82601835,-60.51408014,02_2016
34,-31.82398269,-60.51990582,02_2016
35,-31.82421025,-60.51767412,02_2016
36,-31.82164711,-60.51679973,02_2016
37,-31.82280194,-60.51638644,02_2016
38,-31.82595299,-60.52126792,02_2016
39,-31.82480344,-60.52029677,02_2016
40,-31.82389737,-60.51850264,02_2016
41,-31.82226028,-60.5131915,02_2016
42,-31.82337551,-60.51742694,02_2016
43,-31.82265202,-60.51769633,02_2016
44,-31.82530765,-60.51690528,02_2016
47,-31.82750669,-60.51651094,02_2016
51,-31.82601267,-60.51586409,02_2016
58,-31.82798291,-60.51644751,02_2016
62,-31.82435985,-60.51470048,02_2016
