id,lat,long,fecha,x,y
12,-31.82822,-60.51399,10_2017,735286.6754710863,-3524088.4245595946
33,-31.82881,-60.51573,10_2017,735120.4513067891,-3524150.0769199827
64,-31.82815,-60.51523,10_2017,735169.4612787932,-3524077.97530978
66,-31.82795,-60.51634,10_2017,735064.8839239381,-3524053.3937491737
65,-31.82686,-60.51618,10_2017,735082.796226834,-3523932.874505087
67,-31.82731,-60.51542,10_2017,735153.6052599191,-3523984.419400653
59,-31.82643,-60.51484,10_2017,735210.7482853285,-3523888.096319442
63,-31.82541,-60.51482,10_2017,735215.2304193011,-3523775.0358961206
58,-31.82497,-60.51399,10_2017,735294.9266368765,-3523728.0447983206
61,-31.82674,-60.51413,10_2017,735277.178888299,-3523924.0096860854
52,-31.82544,-60.51574,10_2017,735128.0545216311,-3523776.3693633894
54,-31.82448,-60.51537,10_2017,735165.519569239,-3523670.7202875833
60,-31.8257321,-60.5189836,01_2017,734820.2312002642,-3523801.7380028553
Vivero,-31.82226,-60.5131282,01_2017,735383.3988669452,-3523429.411855401
50,-31.825494,-60.5148855,01_2017,735208.8161150664,-3523784.2083972837
68,-31.8275059,-60.5151731,01_2017,735176.4825831838,-3524006.676882166
69,-31.8230592,-60.5147431,01_2017,735228.4768758268,-3523514.53167507
? (Patio Fer),-31.8216656,-60.5185606,01_2017,734870.5822302339,-3523351.7357336357
44,-31.8217173,-60.518386,01_2017,734886.9819003599,-3523357.846278359
26,-31.823242,-60.51899,01_2017,734825.9340904189,-3523525.6072706925
27,-31.8260724,-60.5218269,01_2017,734550.1857034164,-3523833.325329674
56,-31.8279039,-60.5179438,01_2017,734913.1673914964,-3524044.8098479155
33,-31.82798444,-60.51665312,01_2017,735035.1531796295,-3524056.5346144666
1-Casa Alberdi,-31.84203773,-60.5165233,01_2017,735011.7925538216,-3525615.130309927
47,-31.84280432,-60.51807265,01_2017,734863.1924517561,-3525696.7797384835
32,-31.84256651,-60.51966435,01_2017,734713.1315212914,-3525666.9655688074
35,-31.82285117,-60.51338822,01_2017,735357.2798934777,-3523494.400616192
45,-31.82160044,-60.51457304,01_2017,735248.2797079162,-3523353.144116439
34A-1,-31.82844116,-60.52097801,01_2017,734624.5554775329,-3524097.821781551
31,-31.82968371,-60.520271,01_2017,734688.3415614193,-3524237.131495878
33-1,-31.82761829,-60.52288234,01_2017,734446.3535681396,-3524002.4624674497
25-2,-31.82437644,-60.52186173,01_2017,734551.1801589555,-3523645.1922481204
26A-1,-31.82454486,-60.52055149,01_2017,734674.8001127068,-3523666.6993389097
26B-1,-31.82641923,-60.52054614,01_2017,734670.5606575254,-3523874.5519569363
35-1,-31.82767764,-60.51905857,01_2017,734808.204248,-3524017.3087682426
28-1,-31.82687385,-60.5180072,01_2017,734909.7761828334,-3523930.454576284
FI-1,-31.832409,-60.522264,01_2017,734492.7691955911,-3524535.0199683807
FI-2,-31.832262,-60.522901,01_2017,734432.8386968019,-3524517.343635412
FCA-1,-31.831284,-60.52126,01_2017,734590.6623996623,-3524412.4430197137
FCA-2,-31.83142,-60.520317,01_2017,734679.5894033465,-3524429.562112698
FCYT-1,-31.833911,-60.521898,01_2017,734523.6152053829,-3524702.361389194
FCYT-2,-31.83416,-60.521725,01_2017,734539.361883773,-3524730.3458369034
1,-31.82433701,-60.51464495,01_2017,735234.52632786,-3523656.4356100094
39,-31.8258586,-60.514827,01_2017,735213.4292038106,-3523824.7642038134
casa turco,-31.82597677,-60.51600817,01_2017,735101.304273317,-3523835.308805607
28-2,-31.82485735,-60.51676505,01_2017,735032.4868537405,-3523709.541835274
12,-31.8205008,-60.52091239,01_2017,734650.8694378604,-3523217.4905265183
13A,-31.82165696,-60.51976483,01_2017,734756.5907564486,-3523348.173058377
16-1,-31.8241797,-60.51762874,01_2017,734952.4355114084,-3523632.5303385598
16-2,-31.82163032,-60.51687073,01_2017,735030.6642449833,-3523351.4808253283
16-3,-31.82272791,-60.51609762,01_2017,735101.0765082615,-3523474.862086142
55,-31.8260022,-60.5231668,01_2017,734423.51121476,-3523822.646771871
78-1,-31.8210215,-60.5172624,01_2017,734995.125326543,-3523283.1234245193
27A-2,-31.8245237,-60.5181497,01_2017,734902.2418620832,-3523669.5476755938
25-3,-31.8259223,-60.5212069,01_2017,734609.262805478,-3523818.0211922466
24,-31.8290769,-60.5210902,08_2016,734612.3248970835,-3524168.07384858
47,-31.8267713,-60.5203095,08_2016,734692.0723892403,-3523914.1031437055
55,-31.8239827,-60.5199058,08_2016,734737.35415919,-3523605.759790566
60,-31.8257321,-60.5189836,08_2016,734820.2312002642,-3523801.7380028553
45,-31.8222603,-60.5131915,08_2016,735377.4050526038,-3523429.3078766237
50,-31.825494,-60.5148855,08_2016,735208.8161150664,-3523784.2083972837
68,-31.8275059,-60.5151731,08_2016,735176.4825831838,-3524006.676882166
69,-31.8230592,-60.5147431,08_2016,735228.4768758268,-3523514.53167507
57,-31.8228019,-60.5163864,08_2016,735073.5482125381,-3523482.441187599
? (Patio Fer),-31.8216656,-60.5185606,08_2016,734870.5822302339,-3523351.7357336357
? (Vereda Fer),-31.8217173,-60.518386,08_2016,734886.9819003599,-3523357.846278359
29,-31.826481,-60.519869,08_2016,734734.5107391882,-3523882.865460879
26,-31.823242,-60.51899,08_2016,734825.9340904189,-3523525.6072706925
25,-31.827297,-60.515397,08_2016,735155.8156964385,-3523983.027709036
22,-31.8266894,-60.5190913,08_2016,734807.609504358,-3523907.656087467
58,-31.8267216,-60.5171184,08_2016,734994.3068069263,-3523915.495984107
27,-31.8260724,-60.5218269,08_2016,734550.1857034164,-3523833.325329674
62,-31.8289119,-60.5223835,08_2016,734490.306058259,-3524146.982970606
56,-31.8279039,-60.5179438,08_2016,734913.1673914964,-3524044.8098479155
31,-31.8273,-60.515107,08_2016,735183.2628918556,-3523983.9886585767
33,-31.827532,-60.515407,08_2016,735154.2726831739,-3524009.064264256
6,-31.826903,-60.515424,08_2016,735154.2592904458,-3523939.28011938
38,-31.827186,-60.515756,08_2016,735122.1101541349,-3523969.9416808207
1,-31.82705245,-60.52162855,02_2016,734566.483546043,-3523942.4275501072
2,-31.8290769,-60.52109024,02_2016,734612.3211102943,-3524168.0737621207
3,-31.82790392,-60.51794384,02_2016,734913.1635539568,-3524044.811979068
4,-31.82935184,-60.52038714,02_2016,734678.1871414635,-3524200.0806831485
5,-31.82937997,-60.52177376,02_2016,734546.8453702031,-3524200.202713686
6,-31.82925434,-60.52319336,02_2016,734412.770496143,-3524183.2053985302
7,-31.8280594,-60.52106286,02_2016,734617.4891961466,-3524055.3065983416
8,-31.82761534,-60.5225245,02_2016,734480.238169583,-3524002.9082971597
9,-31.82677126,-60.52030946,02_2016,734692.0762774205,-3523914.098794754
10,-31.82688215,-60.51802738,02_2016,734907.8446618067,-3523931.331258192
11,-31.82573212,-60.51898359,02_2016,734820.2320963244,-3523801.740242205
12,-31.82171734,-60.51838599,02_2016,734886.9827457753,-3523357.850735429
13,-31.82406355,-60.52158553,02_2016,734578.1211518825,-3523611.0940034054
14,-31.82718285,-60.51848522,02_2016,734863.7379463513,-3523963.683942267
15,-31.82668944,-60.51909133,02_2016,734807.6065628466,-3523907.6604580083
16,-31.82166559,-60.51856059,02_2016,734870.5832023465,-3523351.734646412
17,-31.8282578,-60.51905686,02_2016,734806.8961652267,-3524081.6440368393
18,-31.82213571,-60.51958014,02_2016,734772.8641621466,-3523401.659019769
19,-31.82756312,-60.51754948,02_2016,734951.3620466253,-3524007.875581854
20,-31.8227643,-60.5210106,02_2016,734635.8415063261,-3523468.2681555646
21,-31.8238098,-60.51389606,02_2016,735306.7657963787,-3523599.5984223173
22,-31.82549395,-60.51488545,02_2016,735208.8209756368,-3523784.2029613196
25,-31.82524995,-60.51559537,02_2016,735142.2293438392,-3523755.608760104
26,-31.82592539,-60.51474227,02_2016,735221.2813544859,-3523832.3538820166
27,-31.82305916,-60.51474309,02_2016,735228.4779240993,-3523514.527261298
29,-31.82178866,-60.51381288,02_2016,735319.7720206974,-3523375.662527011
31,-31.8275059,-60.5151731,02_2016,735176.4825831838,-3524006.676882166
32,-31.82391926,-60.5167004,02_2016,735040.9864324718,-3523605.6608129
33,-31.82601835,-60.51408014,02_2016,735283.7313140838,-3523844.0968225324
34,-31.82398269,-60.51990582,02_2016,734737.3522910157,-3523605.758638462
35,-31.82421025,-60.51767412,02_2016,734948.0617254123,-3523635.819686727
36,-31.82164711,-60.51679973,02_2016,735037.3437750738,-3523353.4963094355
37,-31.82280194,-60.51638644,02_2016,735073.5443240425,-3523482.445536422
38,-31.82595299,-60.52126792,02_2016,734603.4081745283,-3523821.2923984854
39,-31.82480344,-60.52029677,02_2016,734698.2607934403,-3523695.922872551
40,-31.82389737,-60.51850264,02_2016,734870.4145861899,-3523599.3328563888
41,-31.82226028,-60.5131915,02_2016,735377.4051033903,-3523429.305658902
42,-31.82337551,-60.51742694,02_2016,734973.5796033691,-3523543.793776606
43,-31.82265202,-60.51769633,02_2016,734949.9087997407,-3523462.9858874204
44,-31.82530765,-60.51690528,02_2016,735018.0688521949,-3523759.170173813
47,-31.82750669,-60.51651094,02_2016,735049.825231697,-3524003.8667014735
51,-31.82601267,-60.51586409,02_2016,735114.8536978685,-3523839.6016723025
58,-31.82798291,-60.51644751,02_2016,735054.6223664265,-3524056.810189523
62,-31.82435985,-60.51470048,02_2016,735229.2110697633,-3523658.8479178394
