fecha,lat,long,nro_huevos,x,y
14/02/2018,-31.82822,-60.51399,32,735286.6754710863,-3524088.4245595946
14/02/2018,-31.82881,-60.51573,0,735120.4513067891,-3524150.0769199827
14/02/2018,-31.82815,-60.51523,0,735169.4612787932,-3524077.97530978
14/02/2018,-31.82795,-60.51634,0,735064.8839239381,-3524053.3937491737
14/02/2018,-31.82686,-60.51618,50,735082.796226834,-3523932.874505087
14/02/2018,-31.82731,-60.51542,36,735153.6052599191,-3523984.419400653
14/02/2018,-31.82643,-60.51484,36,735210.7482853285,-3523888.096319442
14/02/2018,-31.82541,-60.51482,0,735215.2304193011,-3523775.0358961206
14/02/2018,-31.82497,-60.51399,0,735294.9266368765,-3523728.0447983206
14/02/2018,-31.82674,-60.51413,0,735277.178888299,-3523924.0096860854
14/02/2018,-31.82544,-60.51574,21,735128.0545216311,-3523776.369363389
14/02/2018,-31.82448,-60.51537,1,735165.519569239,-3523670.720287584
